,Author,Title,Rating,Text,Date
10,SeeRJay,Patience will be rewarded - the third act makes the trip worthwhile,9,"First and foremost, Alien: Romulus is an unabashed love letter to Alien, Aliens and - much to my delight - Alien: Isolation. There hasn't been a film or piece of media that has felt quite as loyal to the original's vision in a long time, if ever.Almost to a fault, the first two acts deify Alien and Aliens, occasionally lifting dialogue and scene composition verbatim. Those parts are nice throwbacks, although I couldn't help but want something fresh and genuinely terrifying - a feat which I don't think has been achieved since the films that Alien: Romulus lovingly imitates. At the very least, it never ceases to be engaging science fiction-horror.The characters are moderately interesting, with some believable backstories to justify their motivations, but it isn't difficult to distinguish the heroes from the fodder early on. The dynamic between Rain and Andy is a particular highlight, and gives the narrative the anchor that it needs to warrant the audience's investment. Cailee Spaeney's and David Jonsson's performances are excellent, with the latter delivering the nuance required of his character with precision. The practical effects are also fantastic, making the CGI - when it is used - stand out to the film's detriment.While the first two acts in isolation deliver a satisfactory entry in the series, the third act (you will know when it arrives) is the white-knuckle horror ride that has been lacking in the more recent films. It's also the point in which the film matures, so to speak, distinguishing itself from a homage and transforming into a standalone experience. It really is best viewed free of any spoilers - all I will say is that it is the first time I've involuntarily gasped in the series since seeing Alien for the first time.Patience will be rewarded - the third act makes the ride more than worthwhile, and reminded me of exactly why I love the series.",2024-08-14
11,thewatcher-67734,A very average addition to the Alien universe,6,"Nothing special, a lot of the really positive reviews are overhyped.The characters for the most part are totally flaccid and devoid of any real character, apart from Andy. I honestly didn't have any emotional attachment to the majority of the characters and most of them were just annoying and thick.The movie was tawdry at times, seeming to take an age to get going and relying far to heavily on Alien franchise cliches to add any real colour to the plot and script.The special effects were good enough and the design on the original xenomorph was excellent, although the face huggers look worse in this film than they did in Alien and Aliens for some reason.Don't ger over excited by the current hype surrounding Romulus, it isn't a terrible film but it isn't a great one either. As a huge fan of the originals, i came away disappointed.",2024-08-17
12,obrechtandreas,Full of clichees and target audience are def teens,8,"I read it was supposed to be a straight to VOD movie and to be released on Hulu. They should have sticked with that. What a disappointment.The beginning is garbage, they used some teens, with some really dumb cliche personalities. Just annoying. Once the action gets going, you do have lots of good moments but overall so many over the top moments, it was clearly made to be more of a teen action movie.No real horror or mystery elements. And repeating, extremely repeating, always adding one more layer on layer but always the same.Then the end, last 10min were nice, but then again so dumb behavior and moves that you can just laugh and shake your head.Where are the beautiful mystery elements from prometheus and covenant?A real pity. I really hoped for more. It was a let down and a 7.5 rating, that can't be real. Seriously haha.",2024-08-15
13,maue-19674,Lazy Patchwork of call backs & dialogue from previous Alien films,6,"A group of young disaffected workers on a Weyland-Yutani mining Colony hatch a plan to go scavenge cryo-pods from what appears to be an abandoned ship orbiting their world with a view to heading away from their dead-end existence to a new system. However, once at the ship they find it is actually a Weyland-Yutani research facility and, although there are no humans left aboard, it is far from empty....I am a huge fan of the Alien Films and had watched the approach of this 7th Film with a mixture of both curiosity and trepidation. After all, Alien Films are not released very regularly and the 'Fanbase' has now polarised into two camps - one that simply wants to watch 'more of the same' Alien (Xenomorph on scary spaceship picking off victims etc) or those who want a bigger exploration of the 'Alien Universe' (Prometheus, Covenant).Despite the endorsements of both Ridley Scott & James Cameron (now both in hock to the 'Mouse-house' Disney) I suspected that this Film would be a 'mash up' of sorts between 'Alien' & 'Aliens' - just with a younger Cast. Unfortunately, Disney have shown that they are creatively bankrupt and are more than happy to simply produce a 'copy & paste' rehash of what we have seen before...
Alien: Romulus has a couple of good set pieces and a couple of decent acting performances BUT it just cannot disguise the fact that it is a patchwork of nods & call backs to virtually every Alien Film made! Whole chunks of dialogue and lines are spouted verbatim from 'Alien' and 'Aliens', which was just an unnecessary distraction. The 'Rook/Ash' inclusion was also overdone. The net result for me was a Film that looked and sounded like a Lazy reboot of several Alien Films but with NO original ideas. The practical effects were well done BUT the impact was diminished by the overly familiar tropes - and dialogue.The 'Finale' was blatant 'remix' of the creature from 'Alien Resurrection' with a bit of 'Prometheus' Engineer thrown in!Cailee Spaeny makes an endearing if reluctant hero as Rain, while David Jonsson's 'artificial person' Andy struggles with his 'directives'. Unfortunately neither of these two can match Weaver's original Ripley or Fassbender's deeply unnerving 'David' from the other Films.So, Alien: Romulus (for me) simply didn't do anything to expand the Alien Universe or indeed even go for a more original take. Instead I found myself watching a 2 hour 'replay' of 'Alien Greatest Hits' which appeared to have been designed for 'Fanboys' and video-game youngsters. In some parts I even felt it bordered on parody!As for this being the 'Best' Alien Film since Cameron's 'Aliens' in 1986 - forget it!At least Alien 3, 'Prometheus' and even 'Covenant' tried to be different.'Alien: Romulus' has successfully rehashed all the old Alien tropes for a new audience but, in the process, has now painted the Franchise into a corner.The 'haunted spaceship' has now been done to death - unless Scott himself has anything further to say, Alien is going nowhere...",2024-08-31
14,melllettem,Confusing combination of all the 6 movies,6,"I hoped that this movie will add something new to the story of the franchise, but it is just a standalone average horror movie. As I see the director and the studio misunderstood the fans when their problems were raised about Prometheus and Covenant and the result of it is a confusing combination of all the 6 movies also some stolen John Carpenter feeling in the end.Inspite of this there where some enjoyable scenes in the movie, the main character is likeable but despite all efforts Romolus remains a strange spin-off of the Alien universe.Of course for an Alien fan it is a mandatory piece even if it's a one time movie.",2024-08-15
15,kcsuper,The Director gets it!,8,"Managed to snag an early screening of Alien: Romulus, and let me just say this....... Fede Alvarez understands the suspense this franchise needs. Despite the obvious inspiration from the Alien: Isolation video game, which is not a bad thing AT ALL, Alvarez provides the old school fan service we've been missing.The not-so well known cast pulls it off convincingly, particularly Cailee Spaeny as Rain. Although I didn't much care for her character in Civil War, here she sells her performance rather well. Many will view her as primarily an Amanda Ripley knock-off, though. The Xenomorph design in this one is somewhat reminiscent of the original '79, and it does NOT disappoint. It's almost as if ""Kane's Son"" from the Nostromo floated through space and landed on the Renaissance Station.That feeling of isolated dread carries the film, and keeps you on the edge of your seat, but it has has a tendency to drag, but you barely notice it. As far as facehuggers go.......this film does them justice! Holy 🐄! They give the creatures they spawn a run for their money as top contender for terrifying. Take the ones who attacked Ripley and Newt in Aliens and dip them in cocaine. That's what you get in this one! All in all, Alien: Romulus comes in third in this franchise. Alien 3, Resurrection, Prometheus, and Covenant can be erased from canon in my opinion. Enjoy fans!",2024-08-14
16,Zetsurin,Great start let down by some bad choices,6,"Thw movie starts well. In fact the first 2/3rds is pretty great. But it is let down in various ways:Too many needless quotes spoken word for word from previous films as if that will excite our nostalgia, but honestly those lines were delivered perfectly with impact and timing when used originally and just repeating this as off the cuff dialog in new characters treads far too closely to ruining their legacy.Some connections to previous films that I don't like are validated. The lore appears to be permanently lessened as to the origin of the species amongst other things.Some scenes and situations from previous films are copied, again needlessly. There are several of these.At times it feels like there are jump scares every 5 minutes in parts, way overdone. Less is more IMHO, otherwise it starts to just devolve into a generic slasher movie.",2024-08-15
17,daryl-b-t,Lacking Originality,6,"A bit disappointing, a lot of copying moments from the earlier movies, very much the same look and feel. A few too many corridors.Also, rather throw away characters who really needed a lot more depth to truly come alive. Can honestly say we walked out of the cinema not remembering the name of anyone, never a good sign.Probably they're going to get absolutely roasted for dumb not science moments, like spaceships that slow down when the engines turn off....unfortunately one of many.Revisiting the Alien universe was enjoyable, and if you're a fan it's probably worth watching. It will be interesting to see if it appeals to the younger market it's obviously aimed at.",2024-08-14
18,and_mikkelsen,A movie for the fans!,8,"I have to admit, I was skeptic going into this movie, since the later trailers made me worty that they showed the whole movie, cause it was going to be bad... however I was thankfully wrong!This was such a pleasent surprise, and felt like the biggest breath of fresh air, after prometheus and covennant!You can tell that the director loves the franchise, and that he went back to the first two movies, saw what worked, and why they were loved by the fans, and then combined them into making this movie! We even get some Alien Isolation vibes!The story and action takes its time to get going, but thats part of the charm with these movies! I enjoy that slow burn until things go crazy! Taking its time to establish the characters, the setting, the rules etc!I loved how many practical effects that they used! Thats another part of the charm and why the first movies are so great, compared to the later ones! The experience becomes more immersive, rather tvan having all that CGI to pull you out og it!Overall a movie that exceeded my expectations, and might become my favorite outside the first two!",2024-08-15
19,Platypuschow,"Alien Romulus: Expectations, exceeded",7,"PlotWhile scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe.CastA mostly young cast of folks I barely or don't even know.Spaeny was a passable lead and Jonsson was the stand out performer of the movie.VerdictI love xenomorphs, I don't always like the movies they're in however. In fact when creating my Aliens/Predator universe best to worst list I was alarmed at just how low the average ratings were and after the likes of Prometheus and Convenant I had little to no faith this would be good.I often skip trailers as they spoil too much but as my expectations were already low I decided there'd be no harm and I'd likely not be rushing to watch it anyway. I was immediately concerned by the young cast, it just didn't work for me and I feared this would damage the movie further. Then I remembered I thought the same thing about the ill fated Willow (2022) and was proven wrong so kept an open mind going in.The first thing you notice is the feeling that you're in that familiar Alien universe, it presents this exceptionally well. Then it builds up that familiar dread and does it fantastically well, a nice slow burn but doesn't leave it too late to deliver lots of xenomorph action.The pacing is great, the delivery is mostly solid although I will argue that in a couple of places both the xeno's and facehuggers look a bit hokey.The movie has several very memorable sequences and more intelligence than I expected, this was actually really quite good stuff and though flawed in areas most of it was entirely forgivable.Sadly it presented us with a rather naff finale, it reminded me greatly of the end of Alien: Resurrection which a lot of fans of the series would rather forget. It didn't kill the film for me but it certainly damaged it.Alien Romulus fell as the 3rd best movie from the Alien/Predator series, I enjoyed it and am now looking forward to more which I haven't been able to say for a very longtime.RantsSo let's talk about that line, that iconic line from Alien (1986) which for some reason they decided to replicate here. Now I'm all for fan service, in many instances I think it's needed and can certainly benefit a movie. I mean after all Deadpool & Wolverine was almost entirely fan service! But there's a time and a place and sometimes it's so poorly done or unnecessary it pulls you out of the illusion and reminds you that you're watching a movie and the line in question here is an example. The sad thing is which made it so much worse is which character they had deliver it! It felt so out of character, it just felt forced, awkward and I have no idea why someone thought that would be a good idea.The GoodSome great cast members especially Jonsson
A few great moments
Really feels like an Alien movie
Very tense stuff
Mostly well madeThe BadA few bits look hokey
That line!A few week cast members
I didn't like the Ian Holm element
Poor finale.",2024-12-03
20,sgarfield-5-82315,Typical Disney,1,"Going in I had high hopes for this movie as the last 2 were so well done. This one however, lost the identity of the Alien franchise. As for as I could see, the only similarities between this one and any of the other Alien movies, (including AvP) was the face huggers and the xenomorph. Other than that, this one fell flat and hard. Some of the special effects were good but so were the effects in the new Star Wars. Speaking of Star Wars, that's pretty much what this was, an all inclusive Disney movie filled with British teenage actors. I can only hope that the writers at Disney/Twentieth Century Fox will one day redeem themselves and make a decent quality movie again.",2024-11-25
21,twilight-zone-1,Only worth seeing because of its great production design and visuals,6,"The Alien movie for the Gen Z . . .Since almost 40 years they try to make another great Alien movie and they fail again and again. Alien: Romulus is unfortunately not an exception. It's even worse than the other previous films. At least they had an own vision and identity, but this one is just an overloaded sample of all Alien movies' (even the prequels') most remarkable ideas, scenes and dialogues - and that in a bad way.The basic idea, the scenario and the first hour are ok and let shine through potential. Two or three own, new ideas are good. That's it.Above all - the movie is not really suspenseful and terrifying. Xenomorph attacks are directed surprisingly quite uninspired and boring. Plot holes, shallow characters and an unrealistic, far too rushed pacing make matters worse.The only reasons i don't give it less than six stars is because of the really well-made dirty, retro-homage production design, the stunning photography and the decision to use as far as possible practical effects.",2024-08-20
22,TiffJobs,A Stale Rehash of Past Glories,6,"Romulus feels like a recycled version of past Alien movies, offering nothing new to the franchise. It heavily reuses elements we've already seen in earlier films. The plot is a near copy of Alien: Resurrection, with Weyland-Yutani recovering a xenomorph and, predictably, things going wrong. Once again, we have a team of people getting killed by the alien, and even the hybrid creature at the end is just a weaker version of what was done before.The movie is packed with constant references to older Alien films, from dialogue to set pieces, but instead of feeling fresh, it just reminds you of how great the original movies were. While the technical aspects of Romulus are fine, it offers nothing new and simply rehashes what we've already seen. For fans hoping for something innovative, this movie will feel like a disappointing repeat of the past.",2024-09-29
23,Dvir971,A Thrilling Cinematic Experience,8,"After a lot of anticipation and build-up, ""Romulus"" is here and it is a very decent addition to the ""Alien"" saga.One of the most praiseworthy aspects of this film series is how the ""Alien"" series manages to achieve a rather rare blend of genres. This series, and especially this film more than any other, manages to create a rare combination of the Sci-Fi and the Horror genre, delivering a film with all the motifs of a horror movie but set in a science fiction setting. Ghosts? Demons? Serial killers? What if, for a change, they were Aliens? This refreshing combination is what makes the film series so fascinating and unique, and this film, made by one of the rising horror directors in recent years, takes it to new levels.Now, regarding the burning question that many have probably thought about-how relevant is it to refresh your memory on the other films in the series before watching this one? It is, of course, recommended to watch them all, but if you need to prioritize, it's important to know that there's much more significance in rewatching the prequel films (""Prometheus"" and ""Alien: Covenant""), which the film references and builds upon much more significantly than the original four films.In terms of world-building, which is very prominent in the first two classic films and also in the prequels, this film continues to expand the cinematic universe of the series in a fascinating way. Despite thinking that we've seen it all already, it manages to give a new spin to existing elements that were established in the other films, in a way that leaves room for future films.Cailee Spaeny carrying the film brilliantly as the lead role, and David Johnson continues the legacy of the brilliantly acted Androids throughout the series with a very impressive show of acting. Alvarez did an amazing job with the directing- and atmosphere is probably the best aspect of the film.Benjamin Wallfisch which is a student of the greatest ever, Hans Zimmer, was responsible for the music in the film- with a masterful blend of a more traditional score that references the musical mortifs of the older films, combined with electronic sounds which creates a very effective score that serves as fitting to the hybrid Sci-Fi/Horror genre.This brings me to the next point-watching this film in an IMAX theater is an amazing experience that you must not miss. High-budget horror films capable of exploiting the advantages of the IMAX format to enhance the film's impact on the viewer are rare, and this film manages to do so in an exceptional way. The thrilling sound that surrounds you from every direction and the stunning visuals are fully utilized on the giant screen-with top-notch effects, impressive set design that remains consistent with the rest of the series, and an atmosphere that evokes terror from the very first moment.Romulus is a great addition to the Alien saga, that opens the pathway to new opportunities for the franchise while still remaining true to the essence of the original series and the amazing prequels. Very recommended, especially for fans of the genre(s) and the series.",2024-08-14
24,infinitejester-07075,ALIEN: THE FORCE AWAKENS,6,"ALIEN: ROMULUS starts off well enough with a new set of characters (Including an interesting android named Andy) on a new world with an intriguing premise. The atmosphere is dark and gloomy and we know nothing good is going to happen to any of these people, but it's an ALIEN movie and that is to be expected. The problem is the director didn't believe in his own movie. As JJ Abrams did with THE FORCE AWAKENS and Star Wars, Director Alvarez followed suit by essentially remaking every previous Alien movie all in one film including numerous cringeworthy references that were neither exciting to hear nor did they add anything to the film other than making it feel cheap. The last time a one liner reference was good was when Arnold Schwarzenegger reached his hand out to Sarah Conor and said ""Come with me if you want to live."" A great use of a reference line that has never been imitated with any effectiveness. What could have been a fun and decently original ALIEN movie ended up feeling like a rehash of previous, better films. The ""brand"" seeped into the film and got in the way, and as a result, lessened the quality of yet another big budget franchise film which didn't leave me hoping for more. But alas, I'm sure one day we will get another generically titled ""ALIEN: REMUS.""",2024-08-16
25,barefootstallion,"Mostly Just More of the Same, but...",6,"My first takeaway was that there was just nothing there to get emotionally invested in - in the story or the characters. The characters just came off as cardboard cutouts, no story arcs for them, no real emotional content for you to connect with. The story was pretty much just recycled from the previous Alien films. Monster gets loose and starts killing everyone. As a result, there was no dramatic or tension buildup. You pretty much know exactly how everything is going to pan out, not long after you're introduced to the characters and the situation. Oh, and let's throw in a thumb-your-nose at how evil corporations are, just for flavor. Which, with how it was done, came off as more of an eye-roll, than something to connect with.The only saving grace the movie had, were the special effects. The ""space"" ones, that is. The creature effects were just more of what has been seen in all of the movies previous. But they did a really good job with physics with the space shots. Those were truly fun to watch. But that was pretty much it.Nothing new, nothing to surprise anyone. Just another ""Alien"" movie, one each. Ho hum.",2024-10-14
26,Human_hair,Made-for-TV teenage adventures in space,2,"They finally made a movie worse than Covenant.From the beginning it doesn't feel like it's in the Alien universe, for all its production and flair, there's no sense of scale, weight or place.The vague plot lacks any tension or jeopardy. A string of cheap callbacks to the previous movies feel incongruous and break the immersion. The xenomorphs are strangely unthreatening, like NPCs lurking in the shadows and are dispatched way too easily.Character development is also non-existent, their motivations are unclear and you don't care what happens to any of them. Andy was interesting, but nothing new.I admire how ridiculous the third act gets, but like the rest of the movie it's unfulfilling and disappointing.Romulus is akin to a beautiful, detailed, AI generated image trained on your favourite artist. A cheap, soulless reproduction, forgettable and ultimately uninteresting.",2024-10-21
27,jtindahouse,Takes a while to get going but once it does it is relentless,7,"I usually wouldn't be overly excited about another 'Alien' sequel coming out, however in his short career so far Fede Alvarez has proven he has a lot of talent. So I went in with an open mind hoping to be pleasantly surprised that this series still has some life to it. And I'm pleased to say it does.The film gets off to a slow start. There is a solid 40 minute build-up, introducing the characters and setting up the story. That part of the movie was a little slow and drawn out for my liking. After that though, once the action/horror begins, it doesn't relent. The pacing from there on out is terrific.The movie looks good. The creatures in particular really popped on the screen. The set design was also great. It's a really hard film to fault on that front.Be warned the film is quite dark. I saw it in a cinema so there was no trouble following the action, but when it comes to streaming I could see it being an issue for people potentially.There's nothing ground-breaking or game-changing here, however if you're wanting nothing more than a good time for two hours this one could just do the trick. 7/10.",2024-08-14
28,snippetiest_ampoules,A Breath Of Fresh Air,9,"The movie's plot is clear and easy to follow, with a coherent narrative that allows the audience to quickly understand each character's motivations and predict their actions (cough cough... unlike other films in the franchise which heavily prioritised action over plot / horror). Furthermore, in this film the characters decisions make sense, and their desires are well communicated, making the plot more engaging.The movie is set in a dystopian world that depicts late-stage capitalism of the no surprise evil WY corpo, with a dark and gritty tone that reminded me and like other reviewers said of Blade Runner.While the movie has its flaws, particularly with most of the cast being somewhat forgettable, the dynamic between Andy and Rain truly stands out and carries the movie. One can really root for the said duo unlike (in contrast) to the rest of the cast. However despite this flaw the overall performance (acting wise) of the entire cast was still commendable.An additional point is that the movie starts slowly, but the wait ultimately bears its fruits leading to an intense action packed second act full of horror and gore. Some tense moments were also thrown in making you stay at edge of your seat.And oh boy, the final act takes a mysterious and deeply unsettling turn, introducing elements that are both creepy and disturbing (and maybe kinda new ?) (without giving away any spoilers). Overall, the film is a solid entry in the franchise, offering a more thoughtful narrative without sacrificing the thrills.Tldr : This movie is really a breath of fresh air for the franchise.",2024-08-14
